Continent,Country,Degree Students-Officially Studying Degrees Foreign Students,Degree Students-Overseas Students (including Hong Kong and Macao),Degree Students-Officially Studying Degrees Land Students,Non-degree Students-Foreign Exchange Students,Non-degree Students-Foreign Short-Term Study and personal selection,Non-degree students-college students with Chinese Language Center,Non-degree students-mainland students,Non-degree students-Haiqing class,Overseas special classe,Total,Per million
Asia,China,0,0,5881,0,0,377,27030,0,0,33288,320773.9896
Asia,Malaysia,3671,6254,0,35,839,85,0,2402,99,13286,398.1325707
Asia,Hong Kong,0,5814,0,193,220,59,0,0,0,6286,233.317926
Asia,Japan,698,177,0,494,1423,3024,0,0,0,5816,2013.080872
Asia,Macao,0,4693,0,10,3,17,0,0,0,4723,59624.05161
Asia,Vietnam,2450,291,0,11,41,922,0,0,290,3715,403.183139
Asia,South Korea,511,186,0,708,248,1933,0,1,0,3587,84.06473008
Asia,Indonesia,1374,971,0,35,134,976,0,69,0,3559,1222.014948
Asia,Thailand,548,268,0,108,150,461,0,0,0,1535,27513.39822
Asia,India,646,3,0,26,85,97,0,0,0,857,9258.659061
Asia,Mongolia,571,0,0,21,3,210,0,0,0,805,34.29079772
Asia,Singapore,100,99,0,107,340,32,0,0,10,678,79.33205684
Asia,Philippines,138,33,0,18,85,292,0,0,0,566,59.35975989
Asia,Myanmar,5,407,0,1,2,42,0,31,0,488,49.57184855
Asia,Russia,155,1,0,32,13,192,0,0,0,393,35.06093331
Asia,Turkey,45,0,0,9,2,69,0,0,0,125,12.15144551
Asia,Iran,44,0,0,0,2,8,0,0,0,54,3.070621392
Asia,Nepal,29,0,0,0,8,16,0,0,0,53,0.3429973
Asia,Jordan,30,3,0,0,0,6,0,0,0,39,5.398717431
Asia,Israel,13,0,0,0,5,19,0,0,0,37,27.69305615
Asia,Pakistan,19,2,0,0,2,0,0,0,0,23,62.05599609
Asia,Brunei Darussalam,4,12,0,0,2,2,0,3,0,23,6.605201912
Asia,Iraq,15,0,0,0,1,3,0,0,0,19,2.005380542
Asia,Kazakhstan,7,0,0,0,5,7,0,0,0,19,53.76861385
Asia,Bangladesh,12,1,0,0,0,3,0,0,0,16,245.6285789
Asia,Sri Lanka,14,1,0,0,0,1,0,0,0,16,1.494416905
Asia,Bhutan,1,0,0,0,0,11,0,0,0,12,0.059182181
Asia,Tajikistan,5,0,0,0,0,6,0,0,0,11,38.62020539
Asia,Uzbekistan,2,0,0,0,0,7,0,0,0,9,21.96359412
Asia,Saudi Arabia,2,2,0,0,0,2,0,0,0,6,8.344273603
Asia,Laos,1,3,0,0,0,1,0,0,0,5,2.393932053
Asia,Cambodia,1,1,0,0,1,1,0,0,0,4,0.896022221
Asia,Yemen,0,3,0,0,1,0,0,0,0,4,0.112874987
Asia,Kyrgyzstan,4,0,0,0,0,0,0,0,0,4,0.488481067
Asia,Armenia,1,0,0,0,0,3,0,0,0,4,24.37538087
Asia,Lebanon,1,1,0,0,0,1,0,0,0,3,0.168928821
Asia,Bahrain,0,1,0,0,0,1,0,0,0,2,0.001465985
Asia,Kuwait,0,1,0,0,0,1,0,0,0,2,0.088309254
Asia,United Arab Emirates,0,1,0,0,1,0,0,0,0,2,0.088176198
Asia,Turkmenistan,2,0,0,0,0,0,0,0,0,2,0.02711223
Asia,Oman,0,0,0,0,0,1,0,0,0,1,0.211105233
Asia,Syria,1,0,0,0,0,0,0,0,0,1,0.021290544
Asia,Georgia,1,0,0,0,0,0,0,0,0,1,1.316846416
Asia,Azerbaijan,1,0,0,0,0,0,0,0,0,1,1.929499932
Oceania,Australia,19,16,0,34,48,254,0,0,0,371,77.36587343
Oceania,New Zealand,9,25,0,1,5,42,0,0,0,82,7.252207545
Oceania,Solomon Islands,52,0,0,0,0,27,0,0,0,79,506.7058348
Oceania,Kiribati,34,0,0,0,0,27,0,0,0,61,1002.498028
Oceania,Tuvalu,27,0,0,0,0,16,0,0,0,43,37.31715678
Oceania,Palau,24,2,0,0,0,12,0,0,0,38,3.610332277
Oceania,Marshall Islands,18,0,0,0,0,9,0,0,0,27,0.333405365
Oceania,Nauru,9,0,0,0,0,11,0,0,0,20,22.25446647
Oceania,Papua New Guinea,2,1,0,0,0,2,0,0,0,5,70.33832735
Oceania,Fiji,0,2,0,0,0,1,0,0,0,3,0.531587364
Africa,Eswatini,164,3,0,0,0,44,0,0,0,211,20.75713775
Africa,Gambia,167,1,0,0,1,20,0,0,0,189,4.855655118
Africa,South Africa,36,76,0,0,4,57,0,0,0,173,10.84514524
Africa,Burkina Faso,61,0,0,0,0,50,0,0,0,111,1.22754133
Africa,São Tomé and Príncipe,42,0,0,0,0,26,0,0,0,68,
Africa,Ethiopia,52,0,0,0,0,0,0,0,0,52,1.118739528
Africa,Nigeria,21,0,0,0,1,3,0,0,0,25,19.01798721
Africa,Kenya,20,1,0,0,0,3,0,0,0,24,0.244662651
Africa,Egypt,18,1,0,0,2,2,0,0,0,23,4.21128801
Africa,Malawi,15,3,0,0,0,1,0,0,0,19,21.92848314
Africa,Morocco,0,0,0,4,10,5,0,0,0,19,0.28652402
Africa,Congo (Brazzaville),6,0,0,0,0,2,0,0,0,8,166.8056714
Africa,Mozambique,4,0,0,0,0,4,0,0,0,8,74.45600581
Africa,Tunisia,0,0,0,0,4,4,0,0,0,8,4.246735322
Africa,Ivory Coast,1,3,0,0,0,3,0,0,0,7,0.108355279
Africa,Mauritius,0,6,0,0,0,0,0,0,0,6,1.613157341
Africa,Zimbabwe,4,0,0,0,0,2,0,0,0,6,0.220389949
Africa,Cameroon,3,0,0,1,0,1,0,0,0,5,148.2579689
Africa,Tanzania,4,0,0,0,0,0,0,0,0,4,0.358712963
Africa,Togo,1,0,0,0,0,3,0,0,0,4,1.976243576
Africa,Namibia,0,2,0,0,0,2,0,0,0,4,2.363452981
Africa,Algeria,1,0,0,0,0,2,0,0,0,3,2.673139228
Africa,Senegal,1,0,0,0,1,1,0,0,0,3,0.275421066
Africa,Sudan,2,0,0,0,0,1,0,0,0,3,27.54770344
Africa,Benin,1,0,0,0,0,1,0,0,0,2,35.52713385
Africa,Rwanda,1,0,0,0,0,1,0,0,0,2,0.125602555
Africa,Uganda,1,0,0,0,0,1,0,0,0,2,12.42112585
Africa,South Sudan,0,0,0,0,0,2,0,0,0,2,2.619927166
Africa,Comoros,0,1,0,0,0,0,0,0,0,1,0.138322152
Africa,Ghana,0,0,0,0,1,0,0,0,0,1,0.111662114
Africa,Libya,1,0,0,0,0,0,0,0,0,1,0.235938702
Europe,France,104,1,0,505,100,847,0,0,0,1557,147.5968167
Europe,Germany,79,3,0,350,142,526,0,0,0,1100,111.4887313
Europe,Netherlands,18,2,0,154,33,155,0,0,0,362,1.418890029
Europe,United Kingdom,43,4,0,13,37,259,0,0,0,356,0.274775278
Europe,Spain,35,5,0,73,15,173,0,0,0,301,64.62361574
Europe,Italy,23,1,0,78,12,149,0,0,0,263,3.395048648
Europe,Czechia,31,0,0,84,35,81,0,0,0,231,6.712784172
Europe,Poland,39,0,0,25,65,71,0,0,0,200,610.8996719
Europe,Sweden,9,1,0,103,8,77,0,0,0,198,24.1001984
Europe,Belgium,7,1,0,58,9,75,0,0,0,150,2.467546012
Europe,Switzerland,14,0,0,29,8,84,0,0,0,135,46.9543006
Europe,Austria,14,0,0,34,16,63,0,0,0,127,14.23758995
Europe,Finland,3,0,0,49,4,46,0,0,0,102,0.801407964
Europe,Denmark,7,0,0,29,5,35,0,0,0,76,4.39604044
Europe,Ukraine,38,0,0,3,2,24,0,0,0,67,1.434690091
Europe,Hungary,27,0,0,1,5,26,0,0,0,59,10.11053037
Europe,Slovakia,19,0,0,7,5,28,0,0,0,59,3.862646137
Europe,Ireland,2,0,0,8,0,38,0,0,0,48,438.7929537
Europe,Norway,5,0,0,15,1,19,0,0,0,40,787.804782
Europe,Portugal,5,1,0,4,2,20,0,0,0,32,0.630583385
Europe,Lithuania,5,0,0,10,0,17,0,0,0,32,8.669873436
Europe,Croatia,8,0,0,2,2,10,0,0,0,22,3.313374769
Europe,Slovenia,5,0,0,0,7,9,0,0,0,21,3.353341605
Europe,Belarus,10,0,0,2,0,7,0,0,0,19,4.358292971
Europe,Bulgaria,4,0,0,3,3,7,0,0,0,17,2.672100147
Europe,Romania,4,0,0,2,0,5,0,0,0,11,61.69515861
Europe,Latvia,5,0,0,0,0,6,0,0,0,11,295.5162131
Europe,Greece,2,0,0,0,0,8,0,0,0,10,0.481278275
Europe,Luxembourg,1,0,0,0,3,4,0,0,0,8,3.914972666
Europe,Estonia,2,0,0,0,0,6,0,0,0,8,2.728171474
Europe,North Macedonia,2,0,0,0,0,2,0,0,0,4,7.190119338
Europe,Bosnia and Herzegovina,3,0,0,0,0,1,0,0,0,4,2.006237392
Europe,Iceland,0,0,0,0,0,2,0,0,0,2,3.388635871
Europe,Serbia,1,0,0,0,1,0,0,0,0,2,55.53241705
Europe,Monaco,0,0,0,0,0,1,0,0,0,1,0.029246311
America,United States,419,259,0,182,467,1998,0,3,0,3328,89169.92658
America,Canada,77,205,0,57,46,283,0,0,0,668,233.8157826
America,Honduras,156,2,0,0,13,62,0,0,0,233,9.877113867
America,Paraguay,80,46,0,0,0,52,0,0,0,178,409.1812926
America,Mexico,43,13,0,3,6,97,0,0,0,162,1.346016598
America,Nicaragua,101,13,0,0,0,46,0,0,0,160,2798.230119
America,Belize,95,27,0,0,0,36,0,1,0,159,76.52416648
America,El Salvador,94,8,0,0,0,47,0,0,0,149,8.798751876
America,Panama,83,5,0,0,0,55,0,0,0,143,329.0699976
America,Brazil,17,42,0,7,5,72,0,0,0,143,2.735229393
America,Guatemala,77,10,0,0,3,44,0,0,0,134,215.4999115
America,Dominican Republic,27,22,0,0,0,79,0,0,0,128,43.53581569
America,Haiti,66,0,0,1,0,46,0,0,0,113,2043.214899
America,Saint Lucia,60,4,0,0,0,32,0,0,0,96,3.652111569
America,Ecuador,27,16,0,1,0,30,0,0,0,74,18.82522458
America,Saint Vincent and the Grenadines,38,0,0,0,0,20,0,0,0,58,45.99764936
America,Peru,20,8,0,0,0,25,0,0,0,53,3.253621649
America,Colombia,16,0,0,2,0,33,0,0,0,51,1.707595441
America,Saint Kitts and Nevis,26,0,0,0,0,20,0,0,0,46,20.23374373
America,Argentina,6,29,0,0,2,7,0,0,0,44,164.1484798
America,Chile,8,11,0,1,0,18,0,0,0,38,1.975035859
America,Costa Rica,3,12,0,0,0,4,0,0,0,19,0.107706757
America,Bolivia,3,5,0,0,1,3,0,0,0,12,1.953527852
America,Venezuela,2,4,0,0,0,6,0,0,0,12,0.711532423
America,Barbados,2,0,0,0,0,0,0,0,0,2,0.389314713
America,The Bahamas,0,0,0,0,1,0,0,0,0,1,0.037165152
America,Cuba,0,0,0,0,1,0,0,0,0,1,84.36682696
America,Dominica,0,1,0,0,0,0,0,0,0,1,0.22174424
America,Uruguay,0,1,0,0,0,0,0,0,0,1,0.248307782
